,game_id,event,player_name
207,3dd5c843-fbf7-45c8-9f6c-a8cd9fde75a9,FIDE WCh KO,"Topalov,V"
208,3e28ffb0-5359-44b4-9984-ece17a050345,World Championship 19th,"Botvinnik, Mikhail"
209,3e3a70d6-647c-4a3f-82f6-5085ebd2a35d,World Championship 13th,"Alekhine, Alexander"
210,3e69c593-6a1d-421c-9ee4-9e9a3e716b95,FIDE WCh KO,"Kozul,Z"
211,3f31d62a-761a-427c-9f1e-d3dc20493e08,World Championship 18th,"Botvinnik, Mikhail"
212,3f34672f-8918-4c6a-aa03-9b6fd17ddfca,FIDE WCh KO,"Radjabov,T"
213,3f5f39ed-c249-4f10-8315-a3ddd307347b,World Championship 16th,"Euwe, Max"
214,3f6a7a00-39e7-4727-ba53-f6803a4b43cd,FIDE WCh KO,"Bruzon,L"
215,4011c940-f77e-40a7-90bd-b375df3874b5,FIDE-Wch k.o.,"Gelfand, Boris"
216,4034cc8a-6293-4aed-ae04-5eab96bd5e38,World Championship 4th,"Steinitz, William"
217,4040e497-a2d7-4326-8e53-c2a2354cddf3,FIDE-Wch k.o. g/25+10,"Nielsen, Peter Heine"
218,4078cd41-0da0-41b5-8668-7a7f875cdea2,World Championship 4th,"Chigorin, Mikhail"
219,40873708-feb2-43b4-a611-b18a20dcbfb8,FIDE WCh KO,"Kritz,L"
220,40c81485-9824-4956-972c-906e9a4f5ea6,FIDE WCh KO,"Filippov,Va"
221,40d2640e-f4b8-473e-ad66-4d88ba87aac0,FIDE-Wch k.o.,"Polgar, Judit"
222,40f80ec8-4595-467c-92c0-b56a35cd3e41,FIDE-Wch k.o.,"Khalifman, Alexander"
223,41639ad8-5ba4-4fa2-a31a-a2999dc66163,FIDE WCh KO,"Felgaer,R"
224,418fd5f1-3ec0-4160-8c74-7fdd5dc85663,FIDE WCh KO,Ye Jiangchuan
225,41f839ba-dfbc-48fd-af1b-fcdca4ceea0f,FIDE-Wch k.o.,"Macieja, Bartlomiej"
226,423ddc4e-934a-4e0d-9397-6af2071e2b3d,FIDE WCh KO,"Baklan,V"
227,42957baa-5777-4c38-93c9-df3892ccd85d,FIDE WCh KO,"Bareev,E"
228,42ddbaaa-d07e-4cb9-bc7d-ae411cfdc149,PCA-World Championship,"Kasparov, Gary"
229,4301633c-fcdc-4206-8838-74d834f3ed77,FIDE WCh KO,"Sakaev,K"
230,432f1a92-9492-4d5f-aed2-113ca20bd6c9,World Championship 11th,"Lasker, Emanuel"
231,4369ddde-9361-41da-94fd-0c18a37ba785,FIDE-Wch k.o. g/25+10,"Shipov, Sergei"
232,4385b082-8c63-4073-9571-7b98462d8f9c,FIDE WCh KO,"Tiviakov,S"
233,4424a0a4-3732-407c-bf0c-da47f6d91921,FIDE WCh KO,"Chernin,A"
234,445484a2-e539-4bdc-a234-dd602d11bb2a,FIDE-Wch k.o.,"Milos, Gilberto"
235,4490dbcc-e447-46ef-9668-9b681ded7633,FIDE-Wch k.o.,"Gelfand, Boris"
236,44bdc534-d751-4664-b33a-cf0c08df584c,FIDE WCh KO,"Shirov,A"
237,4503aabd-dfa8-4824-9984-d5b2c1c02fcf,FIDE-Wch k.o.,"Dreev, Alexey"
238,452c828a-2369-410d-94b7-4abf98131138,World Championship 17th,"Alekhine, Alexander"
239,456d0e77-8b7a-447a-a55d-82f43e558d3a,WCh 2014,"Carlsen, Magnus"
240,45d2f52b-d07e-4ac3-8f26-e898615b132c,FIDE-Wch k.o.,"Kotronias, Vasilios"
241,45ecf658-22da-497d-b3a4-f0291a31fb94,World Championship 6th,"Lasker, Emanuel"
242,46b480a9-d9ba-43c9-91b6-4064435ce5ee,World Championship 18th,"Smyslov, Vassily"
243,46d6dea2-c7b1-474f-a602-5ffb3b76e68d,World Championship 27th,"Petrosian, Tigran V"
244,46e38a10-2d5b-49f2-a761-9dc3ddf60c5a,FIDE-Wch k.o.,"Babula, Vlastimil"
245,472c8f99-f2c6-4446-9da0-c549d3815e58,PCA-World Championship,"Kasparov, Gary"
246,4731cecb-45a6-4c3e-8545-eb3303c1cc2e,FIDE WCh KO,"Felgaer,R"
247,477bfd0e-8663-4b04-8bf0-a9e94c65a6af,FIDE WCh KO,"Psakhis,L"
248,47cfe5ab-222e-4311-bf20-c40e7154ffb4,FIDE WCh KO,"Hamdouchi,H"
249,48381139-828b-4326-8395-c786c8fc9ae5,World Championship 3rd,"Gunsberg, Isidor"
250,4891055d-3ca3-48c9-86bc-93c2a42b2acb,FIDE-Wch k.o.,"Granda Zuniga, Julio E"
251,48928966-2290-4315-a521-0b8629eec6ec,FIDE-Wch k.o.,"Gelfand, Boris"
252,48b7e994-f1ab-48dc-af29-f98adbae8408,FIDE WCh KO,"Bareev,E"
253,48f7a153-4432-4312-b730-eb0bd3cbba67,World Championship 5th,"Lasker, Emanuel"
254,497b33bb-2900-413c-b7ae-448edcd72062,World Championship 16th,"Alekhine, Alexander"
255,49d63d29-d099-46e7-b444-2f7460909e13,FIDE WCh KO,"Georgiev,Ki"
256,4a1c7419-18e0-47be-8bab-686b360daf7a,World Championship 9th,"Lasker, Emanuel"
257,4a2618a6-af36-48ea-8676-73a34b1c7d96,FIDE WCh KO,Xu Jun
258,4b1b4291-ee8e-445b-8ca0-3da461340ba3,World Championship 26th,"Spassky, Boris V"
259,4b2b1557-39e7-4663-8c0b-1a14554a3f1e,FIDE WCh KO,"Gelfand,B"
260,4b335fab-1c93-47ee-b1b7-3894bdb376fc,FIDE-Wch k.o.,"Fedorov, Alexei"
261,4c03aa91-1587-4f89-81f2-43329f869b2d,FIDE WCh KO,"Sadvakasov,D"
262,4c43db35-74c3-4fdb-9db0-6b7ea7452372,FIDE WCh KO,"Ivanchuk,V"
263,4c5c1921-2abc-4a36-9972-9d20dc49b036,FIDE-Wch k.o.,"Milos, Gilberto"
264,4caccb78-c4cf-4eb5-ae78-caf2ad8ab3c9,FIDE WCh KO,"Lutz,C"
265,4ccd18ae-5bd0-4521-b6d8-efd77c6c1bea,FIDE WCh KO,"Dreev,A"
266,4d5c9e21-d15b-468d-9ac1-e84d9318fa3b,FIDE WCh KO,"Khalifman,A"
267,4dbba716-416d-476a-9cd6-f8db9e569e41,FIDE WCh KO,"Dreev,A"
268,4dbff515-bd36-469d-8ee0-d2da9069175e,FIDE-Wch k.o.,"Tkachiev, Vladislav"
269,4e234cdc-57ac-409b-8272-61348b9e5f69,World Championship 24th,"Botvinnik, Mikhail"
270,4e3f3e5c-de7e-40e5-a33a-2cd82a6b1f0a,World Championship 33th-KK3,"Karpov, Anatoly"
271,4ec12417-3e9f-46af-b128-6595e5b70e7e,World Championship 29th,"Karpov, Anatoly"
272,4ec37cf2-3d2b-43dd-a1b6-72512b2908bf,FIDE WCh KO,"Serper,G"
273,4ed2f807-c659-497a-9be1-eb78263a9420,FIDE WCh KO,"Van Wely,L"
